id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
497,2015,Hyderabad,15-05-2015,SRH,RCB,SRH,bat,normal,1,RCB,0,6,V Kohli,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena
498,2015,Chandigarh,16-05-2015,KXIP,CSK,KXIP,bat,normal,0,CSK,0,7,P Negi,"Punjab Cricket Association Stadium, Mohali",CK Nandan,C Shamshuddin
499,2015,Mumbai,16-05-2015,RR,KKR,RR,bat,normal,0,RR,9,0,SR Watson,Brabourne Stadium,RM Deshpande,RK Illingworth
500,2015,Bangalore,17-05-2015,DD,RCB,RCB,field,no result,0,,0,0,,M Chinnaswamy Stadium,HDPK Dharmasena,K Srinivasan
501,2015,Hyderabad,17-05-2015,SRH,MI,SRH,bat,normal,0,MI,0,9,MJ McClenaghan,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,K Srinath
502,2015,Mumbai,19-05-2015,MI,CSK,MI,bat,normal,0,MI,25,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,RK Illingworth
503,2015,Pune,20-05-2015,RCB,RR,RCB,bat,normal,0,RCB,71,0,AB de Villiers,Maharashtra Cricket Association Stadium,AK Chaudhary,C Shamshuddin
504,2015,Ranchi,22-05-2015,RCB,CSK,CSK,field,normal,0,CSK,0,3,A Nehra,JSCA International Stadium Complex,AK Chaudhary,CB Gaffaney
505,2015,Kolkata,24-05-2015,MI,CSK,CSK,field,normal,0,MI,41,0,RG Sharma,Eden Gardens,HDPK Dharmasena,RK Illingworth
506,2016,Mumbai,09-04-2016,MI,RPS,MI,bat,normal,0,RPS,0,9,AM Rahane,Wankhede Stadium,HDPK Dharmasena,CK Nandan
507,2016,Kolkata,10-04-2016,DD,KKR,KKR,field,normal,0,KKR,0,9,AD Russell,Eden Gardens,S Ravi,C Shamshuddin
508,2016,Chandigarh,11-04-2016,KXIP,GL,GL,field,normal,0,GL,0,5,AJ Finch,"Punjab Cricket Association IS Bindra Stadium, Mohali",AK Chaudhary,VA Kulkarni
509,2016,Bangalore,12-04-2016,RCB,SRH,SRH,field,normal,0,RCB,45,0,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VK Sharma
510,2016,Kolkata,13-04-2016,KKR,MI,MI,field,normal,0,MI,0,6,RG Sharma,Eden Gardens,Nitin Menon,S Ravi
511,2016,Rajkot,14-04-2016,RPS,GL,RPS,bat,normal,0,GL,0,7,AJ Finch,Saurashtra Cricket Association Stadium,VA Kulkarni,CK Nandan
512,2016,Delhi,15-04-2016,KXIP,DD,DD,field,normal,0,DD,0,8,A Mishra,Feroz Shah Kotla,S Ravi,C Shamshuddin
513,2016,Hyderabad,16-04-2016,SRH,KKR,SRH,bat,normal,0,KKR,0,8,G Gambhir,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,CK Nandan
514,2016,Mumbai,16-04-2016,MI,GL,GL,field,normal,0,GL,0,3,AJ Finch,Wankhede Stadium,HDPK Dharmasena,VK Sharma
515,2016,Chandigarh,17-04-2016,RPS,KXIP,RPS,bat,normal,0,KXIP,0,6,M Vohra,"Punjab Cricket Association IS Bindra Stadium, Mohali",S Ravi,C Shamshuddin
516,2016,Bangalore,17-04-2016,RCB,DD,DD,field,normal,0,DD,0,7,Q de Kock,M Chinnaswamy Stadium,VA Kulkarni,A Nand Kishore
517,2016,Hyderabad,18-04-2016,MI,SRH,SRH,field,normal,0,SRH,0,7,DA Warner,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VK Sharma
518,2016,Chandigarh,19-04-2016,KXIP,KKR,KKR,field,normal,0,KKR,0,6,RV Uthappa,"Punjab Cricket Association IS Bindra Stadium, Mohali",S Ravi,C Shamshuddin
519,2016,Mumbai,20-04-2016,RCB,MI,MI,field,normal,0,MI,0,6,RG Sharma,Wankhede Stadium,AK Chaudhary,CK Nandan
520,2016,Rajkot,21-04-2016,GL,SRH,SRH,field,normal,0,SRH,0,10,B Kumar,Saurashtra Cricket Association Stadium,K Bharatan,HDPK Dharmasena
521,2016,Pune,22-04-2016,RCB,RPS,RPS,field,normal,0,RCB,13,0,AB de Villiers,Maharashtra Cricket Association Stadium,CB Gaffaney,VK Sharma
522,2016,Delhi,23-04-2016,DD,MI,MI,field,normal,0,DD,10,0,SV Samson,Feroz Shah Kotla,S Ravi,C Shamshuddin
523,2016,Hyderabad,23-04-2016,KXIP,SRH,SRH,field,normal,0,SRH,0,5,Mustafizur Rahman,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,CK Nandan
524,2016,Rajkot,24-04-2016,RCB,GL,RCB,bat,normal,0,GL,0,6,V Kohli,Saurashtra Cricket Association Stadium,K Bharatan,BNJ Oxenford
525,2016,Pune,24-04-2016,RPS,KKR,KKR,field,normal,0,KKR,0,2,SA Yadav,Maharashtra Cricket Association Stadium,CB Gaffaney,A Nand Kishore
526,2016,Chandigarh,25-04-2016,MI,KXIP,KXIP,field,normal,0,MI,25,0,PA Patel,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,RJ Tucker
527,2016,Hyderabad,26-04-2016,SRH,RPS,RPS,field,normal,1,RPS,34,0,AB Dinda,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,CK Nandan
528,2016,Delhi,27-04-2016,GL,DD,DD,field,normal,0,GL,1,0,CH Morris,Feroz Shah Kotla,M Erasmus,S Ravi
529,2016,Mumbai,28-04-2016,KKR,MI,MI,field,normal,0,MI,0,6,RG Sharma,Wankhede Stadium,Nitin Menon,RJ Tucker
530,2016,Pune,29-04-2016,RPS,GL,GL,field,normal,0,GL,0,3,DR Smith,Maharashtra Cricket Association Stadium,CB Gaffaney,BNJ Oxenford
531,2016,Delhi,30-04-2016,DD,KKR,KKR,field,normal,0,DD,27,0,CR Brathwaite,Feroz Shah Kotla,KN Ananthapadmanabhan,M Erasmus
532,2016,Hyderabad,30-04-2016,SRH,RCB,RCB,field,normal,0,SRH,15,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena
533,2016,Rajkot,01-05-2016,KXIP,GL,GL,field,normal,0,KXIP,23,0,AR Patel,Saurashtra Cricket Association Stadium,BNJ Oxenford,VK Sharma
534,2016,Pune,01-05-2016,RPS,MI,MI,field,normal,0,MI,0,8,RG Sharma,Maharashtra Cricket Association Stadium,AY Dandekar,RJ Tucker
535,2016,Bangalore,02-05-2016,RCB,KKR,KKR,field,normal,0,KKR,0,5,AD Russell,M Chinnaswamy Stadium,M Erasmus,S Ravi
536,2016,Rajkot,03-05-2016,GL,DD,DD,field,normal,0,DD,0,8,RR Pant,Saurashtra Cricket Association Stadium,CB Gaffaney,BNJ Oxenford
537,2016,Kolkata,04-05-2016,KKR,KXIP,KXIP,field,normal,0,KKR,7,0,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena
538,2016,Delhi,05-05-2016,DD,RPS,RPS,field,normal,0,RPS,0,7,AM Rahane,Feroz Shah Kotla,C Shamshuddin,RJ Tucker
539,2016,Hyderabad,06-05-2016,GL,SRH,SRH,field,normal,0,SRH,0,5,B Kumar,"Rajiv Gandhi International Stadium, Uppal",M Erasmus,S Ravi
540,2016,Bangalore,07-05-2016,RPS,RCB,RCB,field,normal,0,RCB,0,7,V Kohli,M Chinnaswamy Stadium,CB Gaffaney,BNJ Oxenford
541,2016,Chandigarh,07-05-2016,KXIP,DD,DD,field,normal,0,KXIP,9,0,MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali",HDPK Dharmasena,CK Nandan
542,2016,Visakhapatnam,08-05-2016,SRH,MI,MI,field,normal,0,SRH,85,0,A Nehra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,S Ravi,C Shamshuddin
543,2016,Kolkata,08-05-2016,KKR,GL,GL,field,normal,0,GL,0,5,P Kumar,Eden Gardens,M Erasmus,RJ Tucker
544,2016,Chandigarh,09-05-2016,RCB,KXIP,KXIP,field,normal,0,RCB,1,0,SR Watson,"Punjab Cricket Association IS Bindra Stadium, Mohali",AK Chaudhary,HDPK Dharmasena
545,2016,Visakhapatnam,10-05-2016,SRH,RPS,SRH,bat,normal,0,SRH,4,0,A Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,CB Gaffaney,VK Sharma
546,2016,Bangalore,11-05-2016,RCB,MI,MI,field,normal,0,MI,0,6,KH Pandya,M Chinnaswamy Stadium,AY Dandekar,C Shamshuddin
547,2016,Hyderabad,12-05-2016,SRH,DD,DD,field,normal,0,DD,0,7,CH Morris,"Rajiv Gandhi International Stadium, Uppal",K Bharatan,M Erasmus
548,2016,Visakhapatnam,13-05-2016,MI,KXIP,MI,bat,normal,0,KXIP,0,7,MP Stoinis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,HDPK Dharmasena,CK Nandan
549,2016,Bangalore,14-05-2016,RCB,GL,GL,field,normal,0,RCB,144,0,AB de Villiers,M Chinnaswamy Stadium,AY Dandekar,VK Sharma
550,2016,Kolkata,14-05-2016,RPS,KKR,RPS,bat,normal,1,KKR,0,8,YK Pathan,Eden Gardens,A Nand Kishore,BNJ Oxenford
551,2016,Chandigarh,15-05-2016,KXIP,SRH,KXIP,bat,normal,0,SRH,0,7,HM Amla,"Punjab Cricket Association IS Bindra Stadium, Mohali",KN Ananthapadmanabhan,M Erasmus
552,2016,Visakhapatnam,15-05-2016,MI,DD,DD,field,normal,0,MI,80,0,KH Pandya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon,CK Nandan
553,2016,Kolkata,16-05-2016,KKR,RCB,RCB,field,normal,0,RCB,0,9,V Kohli,Eden Gardens,CB Gaffaney,A Nand Kishore
554,2016,Visakhapatnam,17-05-2016,DD,RPS,RPS,field,normal,1,RPS,19,0,AB Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon,C Shamshuddin
555,2016,Bangalore,18-05-2016,RCB,KXIP,KXIP,field,normal,1,RCB,82,0,V Kohli,M Chinnaswamy Stadium,KN Ananthapadmanabhan,M Erasmus
556,2016,Kanpur,19-05-2016,KKR,GL,GL,field,normal,0,GL,0,6,DR Smith,Green Park,AK Chaudhary,CK Nandan
557,2016,Raipur,20-05-2016,SRH,DD,DD,field,normal,0,DD,0,6,KK Nair,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore,BNJ Oxenford
558,2016,Visakhapatnam,21-05-2016,KXIP,RPS,KXIP,bat,normal,0,RPS,0,4,MS Dhoni,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,HDPK Dharmasena,Nitin Menon
559,2016,Kanpur,21-05-2016,MI,GL,GL,field,normal,0,GL,0,6,SK Raina,Green Park,AK Chaudhary,CK Nandan
560,2016,Kolkata,22-05-2016,KKR,SRH,SRH,field,normal,0,KKR,22,0,YK Pathan,Eden Gardens,KN Ananthapadmanabhan,M Erasmus
561,2016,Raipur,22-05-2016,DD,RCB,RCB,field,normal,0,RCB,0,6,V Kohli,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore,BNJ Oxenford
562,2016,Bangalore,24-05-2016,GL,RCB,RCB,field,normal,0,RCB,0,4,AB de Villiers,M Chinnaswamy Stadium,AK Chaudhary,HDPK Dharmasena
563,2016,Delhi,25-05-2016,SRH,KKR,KKR,field,normal,0,SRH,22,0,MC Henriques,Feroz Shah Kotla,M Erasmus,C Shamshuddin
564,2016,Delhi,27-05-2016,GL,SRH,SRH,field,normal,0,SRH,0,4,DA Warner,Feroz Shah Kotla,M Erasmus,CK Nandan
565,2016,Bangalore,29-05-2016,SRH,RCB,SRH,bat,normal,0,SRH,8,0,BCJ Cutting,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford
