id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
256,2012,Mumbai,16-04-2012,MI,DD,DD,field,normal,0,DD,0,7,S Nadeem,Wankhede Stadium,BF Bowden,SK Tarapore
257,2012,Jaipur,17-04-2012,DC,RR,DC,bat,normal,0,RR,0,5,BJ Hodge,Sawai Mansingh Stadium,Aleem Dar,BNJ Oxenford
258,2012,Bangalore,17-04-2012,PW,RCB,PW,bat,normal,0,RCB,0,6,CH Gayle,M Chinnaswamy Stadium,S Asnani,S Das
259,2012,Chandigarh,18-04-2012,KXIP,KKR,KXIP,bat,normal,0,KKR,0,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali",JD Cloete,RJ Tucker
260,2012,Hyderabad,10-05-2012,DC,DD,DC,bat,normal,0,DD,0,9,DA Warner,"Rajiv Gandhi International Stadium, Uppal",JD Cloete,SJA Taufel
261,2012,Chennai,19-04-2012,CSK,PW,PW,field,normal,0,CSK,13,0,KMDN Kulasekara,"MA Chidambaram Stadium, Chepauk",Asad Rauf,S Das
262,2012,Chandigarh,20-04-2012,KXIP,RCB,RCB,field,normal,0,RCB,0,5,CH Gayle,"Punjab Cricket Association Stadium, Mohali",S Ravi,RJ Tucker
263,2012,Chennai,21-04-2012,RR,CSK,RR,bat,normal,0,CSK,0,7,F du Plessis,"MA Chidambaram Stadium, Chepauk",Aleem Dar,BNJ Oxenford
264,2012,Delhi,21-04-2012,PW,DD,DD,field,normal,0,PW,20,0,SC Ganguly,Feroz Shah Kotla,Asad Rauf,S Das
265,2012,Mumbai,22-04-2012,MI,KXIP,MI,bat,normal,0,KXIP,0,6,SE Marsh,Wankhede Stadium,S Ravi,RJ Tucker
266,2012,Cuttack,22-04-2012,DC,KKR,KKR,field,normal,0,KKR,0,5,B Lee,Barabati Stadium,BF Bowden,SK Tarapore
267,2012,Jaipur,23-04-2012,RCB,RR,RR,field,normal,0,RCB,46,0,AB de Villiers,Sawai Mansingh Stadium,Asad Rauf,S Asnani
268,2012,Pune,24-04-2012,PW,DD,PW,bat,normal,0,DD,0,8,V Sehwag,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker
269,2012,Chandigarh,25-04-2012,KXIP,MI,KXIP,bat,normal,0,MI,0,4,AT Rayudu,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,BNJ Oxenford
270,2012,Pune,26-04-2012,DC,PW,DC,bat,normal,0,DC,18,0,CL White,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker
271,2012,Delhi,27-04-2012,DD,MI,MI,field,normal,0,DD,37,0,V Sehwag,Feroz Shah Kotla,Aleem Dar,BNJ Oxenford
272,2012,Chennai,28-04-2012,KXIP,CSK,KXIP,bat,normal,0,KXIP,7,0,Mandeep Singh,"MA Chidambaram Stadium, Chepauk",BF Bowden,SK Tarapore
273,2012,Kolkata,28-04-2012,KKR,RCB,KKR,bat,normal,0,KKR,47,0,G Gambhir,Eden Gardens,Asad Rauf,BR Doctrove
274,2012,Delhi,29-04-2012,DD,RR,DD,bat,normal,0,DD,1,0,V Sehwag,Feroz Shah Kotla,S Ravi,RJ Tucker
275,2012,Mumbai,29-04-2012,DC,MI,MI,field,normal,0,MI,0,5,DW Steyn,Wankhede Stadium,AK Chaudhary,BNJ Oxenford
276,2012,Chennai,30-04-2012,CSK,KKR,CSK,bat,normal,0,KKR,0,5,G Gambhir,"MA Chidambaram Stadium, Chepauk",BF Bowden,C Shamshuddin
277,2012,Cuttack,01-05-2012,DC,PW,DC,bat,normal,0,DC,13,0,KC Sangakkara,Barabati Stadium,Aleem Dar,AK Chaudhary
278,2012,Jaipur,01-05-2012,RR,DD,RR,bat,normal,0,DD,0,6,P Negi,Sawai Mansingh Stadium,JD Cloete,SJA Taufel
279,2012,Bangalore,02-05-2012,RCB,KXIP,KXIP,field,normal,0,KXIP,0,4,Azhar Mahmood,M Chinnaswamy Stadium,BF Bowden,C Shamshuddin
280,2012,Pune,03-05-2012,MI,PW,MI,bat,normal,0,MI,1,0,SL Malinga,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani
281,2012,Chennai,04-05-2012,CSK,DC,CSK,bat,normal,0,CSK,10,0,SK Raina,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,BNJ Oxenford
282,2012,Kolkata,05-05-2012,KKR,PW,KKR,bat,normal,0,KKR,7,0,SP Narine,Eden Gardens,BF Bowden,SK Tarapore
283,2012,Chandigarh,05-05-2012,RR,KXIP,RR,bat,normal,0,RR,43,0,SR Watson,"Punjab Cricket Association Stadium, Mohali",JD Cloete,SJA Taufel
284,2012,Mumbai,06-05-2012,CSK,MI,MI,field,normal,0,MI,0,2,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani
285,2012,Bangalore,06-05-2012,DC,RCB,RCB,field,normal,0,RCB,0,5,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford
286,2012,Delhi,07-05-2012,DD,KKR,DD,bat,normal,0,KKR,0,6,JH Kallis,Feroz Shah Kotla,JD Cloete,S Ravi
287,2012,Pune,08-05-2012,PW,RR,PW,bat,normal,0,RR,0,7,SR Watson,Subrata Roy Sahara Stadium,Asad Rauf,BR Doctrove
288,2012,Hyderabad,08-05-2012,KXIP,DC,DC,field,normal,0,KXIP,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,BNJ Oxenford
289,2012,Mumbai,09-05-2012,MI,RCB,RCB,field,normal,0,RCB,0,9,CH Gayle,Wankhede Stadium,BF Bowden,VA Kulkarni
290,2012,Jaipur,10-05-2012,RR,CSK,CSK,field,normal,0,CSK,0,4,BW Hilfenhaus,Sawai Mansingh Stadium,BNJ Oxenford,C Shamshuddin
291,2012,Pune,11-05-2012,RCB,PW,PW,field,normal,0,RCB,35,0,CH Gayle,Subrata Roy Sahara Stadium,BF Bowden,SK Tarapore
